car_id,brand,model,year,age,fuel_type,transmission,engine_cc,mileage_kmpl,km_driven,owner_count,city,price_inr
24,Honda,Civic,2022,4,Petrol,Manual,998,22,17224,1,Nashik,916931
25,Maruti,Swift,2022,4,Diesel,Manual,1197,6,56173,1,Chennai,735283
26,Skoda,Slavia,2024,2,Petrol,Automatic,1197,20,33534,1,Pune,1672861
27,Toyota,Corolla,2024,2,CNG,Manual,1498,20,12455,2,Mumbai,682857
28,Honda,Civic,2024,2,Petrol,Manual,1497,12,80880,2,Pune,1384773
29,Renault,Kiger,2023,3,CNG,Automatic,1197,13,36285,1,Hyderabad,608809
30,Tata,Nexon,2023,3,Petrol,Automatic,998,15,86416,2,Mumbai,500503
31,Skoda,Slavia,2023,3,Petrol,Manual,1199,9,53434,1,Nashik,1150375
32,Tata,Nexon,2024,2,Petrol,Automatic,1498,25,91951,1,Nashik,817747
33,Honda,Civic,2024,2,Diesel,Automatic,1197,22,84276,1,Delhi,807857
34,Tata,Nexon,2024,2,Petrol,Manual,1199,20,88136,2,Bengaluru,448249
35,Hyundai,Creta,2022,4,Diesel,Automatic,1997,10,78519,1,Mumbai,487116
36,Hyundai,Creta,2024,2,CNG,Manual,1199,6,61333,1,Pune,936960
37,Toyota,Corolla,2022,4,Petrol,Manual,1997,11,51357,2,Hyderabad,1286229
38,Maruti,Swift,2020,6,Petrol,Manual,1497,10,101542,1,Hyderabad,1173416
39,Maruti,Swift,2021,5,Petrol,Automatic,1997,10,119316,1,Chennai,545043
40,Volkswagen,Virtus,2023,3,Petrol,Manual,1197,14,91511,1,Hyderabad,863202
41,Honda,Civic,2021,5,CNG,Automatic,1997,16,94065,2,Delhi,308977
42,Tata,Nexon,2021,5,Petrol,Manual,1199,23,83193,2,Delhi,1286422
43,Kia,Seltos,2024,2,Diesel,Manual,998,21,38386,1,Hyderabad,424663
44,Skoda,Slavia,2024,2,Diesel,Manual,1199,11,92062,1,Delhi,1699201
45,Tata,Nexon,2024,2,Diesel,Automatic,1997,14,57743,3,Bengaluru,1292546
46,Kia,Seltos,2023,3,CNG,Automatic,1498,10,58225,2,Pune,827490
47,Kia,Seltos,2024,2,Diesel,Automatic,1997,24,62905,2,Nagpur,1313406
48,Hyundai,Creta,2020,6,CNG,Automatic,1498,14,17240,1,Bengaluru,535935
49,Hyundai,Creta,2020,6,Diesel,Manual,1197,6,64692,2,Nagpur,1084343
50,Volkswagen,Virtus,2023,3,CNG,Manual,1197,12,103430,1,Hyderabad,681554
51,Skoda,Slavia,2023,3,Petrol,Manual,1498,6,64829,1,Chennai,1452999
52,Skoda,Slavia,2024,2,CNG,Automatic,1497,15,113864,2,Chennai,734503
53,Volkswagen,Virtus,2023,3,CNG,Automatic,1197,13,105376,2,Chennai,1307020
54,Volkswagen,Virtus,2022,4,Diesel,Automatic,1197,14,46904,2,Mumbai,499806
55,Kia,Seltos,2021,5,Diesel,Automatic,998,11,48369,2,Chennai,751099
56,Kia,Seltos,2023,3,Petrol,Automatic,1997,23,67518,1,Delhi,899331
57,Kia,Seltos,2024,2,Petrol,Automatic,1498,22,33760,1,Hyderabad,1155363
58,Mahindra,XUV500,2021,5,Petrol,Manual,1497,10,56645,2,Pune,417210
59,Hyundai,Creta,2023,3,Diesel,Automatic,998,10,47906,1,Chennai,871657
60,Kia,Seltos,2022,4,Petrol,Automatic,1199,18,7540,3,Pune,792786
61,Honda,Civic,2024,2,Petrol,Manual,998,6,114999,1,Nashik,777411
62,Honda,Civic,2023,3,CNG,Automatic,1497,11,105518,1,Nashik,1374557
63,Honda,Civic,2020,6,CNG,Manual,998,14,45888,2,Hyderabad,753707
64,Maruti,Swift,2019,7,CNG,Manual,1997,23,18356,3,Bengaluru,868495
65,Honda,Civic,2023,3,CNG,Automatic,1199,6,91706,1,Mumbai,1221427
66,Toyota,Corolla,2023,3,Diesel,Automatic,998,20,88307,2,Nashik,1004522
67,Skoda,Slavia,2024,2,CNG,Automatic,1498,13,65931,2,Bengaluru,1057256
68,Honda,Civic,2021,5,Diesel,Automatic,1197,19,49092,1,Chennai,663849
69,Maruti,Swift,2021,5,Diesel,Automatic,1199,13,77848,1,Nagpur,386634
70,Kia,Seltos,2023,3,CNG,Automatic,1197,22,89659,3,Chennai,1158428
71,Honda,Civic,2021,5,CNG,Manual,1497,12,45135,3,Delhi,905076
72,Mahindra,XUV500,2021,5,Diesel,Automatic,1199,22,40509,1,Bengaluru,545314
73,Maruti,Swift,2021,5,CNG,Manual,1997,8,30105,1,Chennai,677019
74,Skoda,Slavia,2024,2,Petrol,Automatic,998,14,34816,1,Nashik,859924
75,Skoda,Slavia,2022,4,Petrol,Automatic,998,13,96411,1,Chennai,522546
76,Renault,Kiger,2023,3,Diesel,Automatic,1497,20,29164,1,Bengaluru,1053323
77,Honda,Civic,2022,4,CNG,Manual,998,20,24887,1,Bengaluru,507059
78,Honda,Civic,2023,3,CNG,Manual,1498,18,106671,2,Hyderabad,1187757
79,Tata,Nexon,2024,2,CNG,Manual,1199,18,84905,3,Mumbai,1660571
80,Maruti,Swift,2021,5,Petrol,Manual,1197,7,77350,1,Nashik,297816
81,Renault,Kiger,2024,2,Petrol,Automatic,998,14,97662,1,Chennai,565829
82,Tata,Nexon,2024,2,Petrol,Manual,1497,11,89886,1,Bengaluru,613084
83,Hyundai,Creta,2022,4,CNG,Automatic,1997,24,62560,1,Chennai,1270296
84,Kia,Seltos,2022,4,Diesel,Automatic,1498,21,15543,2,Pune,1000947
85,Renault,Kiger,2023,3,Petrol,Manual,998,5,105238,3,Bengaluru,1179045
86,Hyundai,Creta,2023,3,Diesel,Automatic,1997,21,28788,2,Hyderabad,1479212
87,Honda,Civic,2022,4,Diesel,Automatic,1497,16,92835,1,Nashik,796001
88,Volkswagen,Virtus,2023,3,Petrol,Automatic,1498,17,16542,1,Bengaluru,826476
89,Kia,Seltos,2024,2,CNG,Automatic,1997,5,59165,1,Nagpur,1296429
90,Volkswagen,Virtus,2024,2,Petrol,Automatic,998,19,76987,1,Bengaluru,1282566
91,Volkswagen,Virtus,2022,4,CNG,Manual,1997,5,98032,1,Bengaluru,1016056
92,Kia,Seltos,2020,6,Diesel,Manual,998,12,89896,1,Chennai,998115
93,Tata,Nexon,2023,3,Petrol,Automatic,1497,20,77255,1,Hyderabad,741495
94,Skoda,Slavia,2024,2,Diesel,Automatic,998,9,49548,2,Bengaluru,406080
95,Tata,Nexon,2024,2,Diesel,Manual,1997,23,63529,2,Chennai,993523
96,Skoda,Slavia,2023,3,Petrol,Manual,1199,19,79946,2,Nagpur,1587250
97,Mahindra,XUV500,2021,5,CNG,Manual,1497,17,69923,1,Nashik,1018772
98,Mahindra,XUV500,2018,8,CNG,Automatic,998,19,7011,3,Nashik,525839
99,Hyundai,Creta,2020,6,Diesel,Automatic,1199,20,90175,1,Delhi,1066937
100,Kia,Seltos,2022,4,Diesel,Manual,1997,25,85931,1,Nagpur,1285809
101,Tata,Nexon,2021,5,Petrol,Manual,1497,7,63153,1,Bengaluru,305875
102,Toyota,Corolla,2022,4,Diesel,Manual,1199,16,37007,2,Hyderabad,1188755
103,Hyundai,Creta,2021,5,CNG,Automatic,998,10,86226,3,Nagpur,1002683
104,Hyundai,Creta,2021,5,Diesel,Automatic,1997,19,38466,3,Pune,1303341
105,Tata,Nexon,2024,2,Diesel,Automatic,998,10,82014,1,Hyderabad,1554290
106,Tata,Nexon,2021,5,Petrol,Manual,1497,17,54986,2,Delhi,981504
107,Tata,Nexon,2020,6,Petrol,Manual,1199,17,84482,3,Chennai,603650
108,Maruti,Swift,2023,3,CNG,Manual,1197,16,86381,1,Nashik,1270034
109,Toyota,Corolla,2022,4,CNG,Automatic,998,19,100991,1,Mumbai,734477
110,Kia,Seltos,2021,5,CNG,Automatic,1197,11,74579,2,Bengaluru,482399
111,Volkswagen,Virtus,2023,3,Diesel,Manual,998,15,23449,1,Hyderabad,1681434
112,Honda,Civic,2022,4,CNG,Manual,1199,5,64609,1,Bengaluru,1145693
113,Mahindra,XUV500,2018,8,Petrol,Automatic,1497,12,84964,1,Mumbai,702444
114,Tata,Nexon,2023,3,Petrol,Manual,1197,8,44893,2,Mumbai,506536
115,Skoda,Slavia,2022,4,Diesel,Automatic,1497,17,81983,3,Nashik,960517
116,Volkswagen,Virtus,2024,2,Petrol,Automatic,1199,18,33477,2,Chennai,895364
117,Honda,Civic,2024,2,CNG,Automatic,1498,16,12936,2,Bengaluru,825007
118,Volkswagen,Virtus,2022,4,CNG,Manual,1997,11,11629,1,Nagpur,549396
119,Maruti,Swift,2019,7,CNG,Manual,1197,22,111568,1,Delhi,868670
120,Renault,Kiger,2021,5,Petrol,Automatic,1197,13,109662,1,Mumbai,1214752
121,Hyundai,Creta,2020,6,CNG,Automatic,1197,16,7068,1,Bengaluru,293467
122,Kia,Seltos,2024,2,Petrol,Automatic,1997,8,63756,1,Mumbai,1217189
123,Renault,Kiger,2021,5,Diesel,Manual,1199,21,12972,2,Hyderabad,867505
124,Volkswagen,Virtus,2024,2,Petrol,Automatic,998,19,84730,1,Mumbai,613397
125,Renault,Kiger,2023,3,CNG,Automatic,1498,17,64469,2,Hyderabad,569615
126,Honda,Civic,2024,2,CNG,Manual,1498,25,61370,2,Nagpur,1111963
127,Volkswagen,Virtus,2023,3,Petrol,Automatic,1997,18,60936,1,Bengaluru,1065167
128,Volkswagen,Virtus,2022,4,Petrol,Automatic,998,7,17656,3,Delhi,531477
129,Renault,Kiger,2023,3,Diesel,Automatic,1497,8,118782,3,Pune,855270
130,Mahindra,XUV500,2018,8,Petrol,Manual,1498,23,91079,2,Nagpur,253856
131,Skoda,Slavia,2023,3,CNG,Manual,1199,8,110804,2,Pune,1466544
132,Tata,Nexon,2020,6,CNG,Automatic,1199,10,49541,1,Pune,491692
133,Renault,Kiger,2024,2,CNG,Manual,1197,7,17026,3,Nagpur,1065346
134,Mahindra,XUV500,2019,7,CNG,Automatic,1199,16,106821,2,Mumbai,250045
135,Renault,Kiger,2021,5,Diesel,Automatic,1199,7,68656,2,Chennai,783910
136,Skoda,Slavia,2022,4,Petrol,Automatic,1497,16,93895,3,Chennai,1127923
137,Toyota,Corolla,2021,5,Petrol,Manual,1498,17,31794,1,Nagpur,1173729
138,Tata,Nexon,2022,4,Petrol,Automatic,998,15,102912,2,Nashik,511667
139,Maruti,Swift,2023,3,Diesel,Manual,1997,22,57044,3,Pune,971765
140,Honda,Civic,2021,5,CNG,Automatic,1497,23,97995,3,Hyderabad,613166
141,Toyota,Corolla,2022,4,Diesel,Automatic,1498,10,16551,2,Mumbai,678146
142,Kia,Seltos,2024,2,Diesel,Automatic,1497,7,34041,1,Nashik,555713
143,Honda,Civic,2023,3,Diesel,Automatic,1197,21,100339,3,Nashik,696471
144,Tata,Nexon,2021,5,Petrol,Manual,1498,10,28218,3,Chennai,928763
145,Renault,Kiger,2024,2,CNG,Automatic,1997,23,118278,3,Delhi,677663
146,Volkswagen,Virtus,2023,3,Diesel,Manual,1199,25,51129,2,Mumbai,868045
147,Toyota,Corolla,2020,6,Petrol,Manual,1199,16,85610,2,Hyderabad,776879
148,Toyota,Corolla,2023,3,Petrol,Automatic,1997,23,84299,2,Nashik,473879
149,Mahindra,XUV500,2018,8,Petrol,Manual,1997,21,37472,3,Chennai,514215
150,Renault,Kiger,2022,4,Diesel,Automatic,1199,16,58578,1,Pune,1503849
151,Mahindra,XUV500,2018,8,CNG,Automatic,998,15,42243,1,Nashik,395548
152,Hyundai,Creta,2022,4,CNG,Automatic,1997,14,21901,2,Mumbai,790692
153,Mahindra,XUV500,2019,7,CNG,Automatic,998,21,71648,1,Pune,533385
154,Maruti,Swift,2021,5,Petrol,Manual,1197,20,25308,1,Bengaluru,1188644
155,Skoda,Slavia,2024,2,CNG,Automatic,998,21,119870,2,Nashik,1435816
156,Hyundai,Creta,2021,5,CNG,Automatic,1197,24,10726,2,Delhi,1201612
157,Volkswagen,Virtus,2024,2,Diesel,Manual,1997,14,74993,1,Bengaluru,1949380
158,Maruti,Swift,2021,5,Diesel,Automatic,1497,23,106990,2,Hyderabad,535853
159,Renault,Kiger,2022,4,CNG,Automatic,998,13,119572,1,Mumbai,1448204
160,Honda,Civic,2021,5,Diesel,Automatic,1197,7,72286,1,Hyderabad,452490
161,Maruti,Swift,2022,4,Diesel,Manual,998,16,56964,2,Delhi,660838
162,Honda,Civic,2021,5,Diesel,Manual,998,12,114992,3,Delhi,1204058
163,Toyota,Corolla,2022,4,Petrol,Automatic,1997,20,63799,2,Pune,409404
164,Maruti,Swift,2020,6,CNG,Automatic,1997,22,19573,1,Nagpur,543908
165,Maruti,Swift,2022,4,Diesel,Manual,1498,25,19530,2,Pune,1245024
166,Maruti,Swift,2024,2,Diesel,Manual,1199,9,85584,1,Nagpur,1401502
167,Honda,Civic,2023,3,CNG,Manual,998,16,56177,2,Pune,1361636
168,Mahindra,XUV500,2020,6,Petrol,Automatic,1199,5,36604,3,Mumbai,1119377
169,Mahindra,XUV500,2019,7,CNG,Automatic,1199,6,111628,3,Nashik,973632
170,Volkswagen,Virtus,2024,2,Petrol,Automatic,1197,10,9847,1,Nagpur,526115
171,Toyota,Corolla,2022,4,Diesel,Automatic,1498,14,38202,1,Nagpur,726615
172,Toyota,Corolla,2022,4,Diesel,Automatic,998,13,57431,3,Chennai,862683
173,Hyundai,Creta,2023,3,CNG,Automatic,1199,20,110008,1,Hyderabad,498776
174,Hyundai,Creta,2024,2,Petrol,Manual,1199,14,47981,3,Bengaluru,949541
175,Kia,Seltos,2021,5,Diesel,Manual,1199,19,100265,1,Hyderabad,663475
176,Toyota,Corolla,2020,6,Diesel,Manual,1497,25,9081,1,Chennai,275675
177,Maruti,Swift,2024,2,Diesel,Manual,1199,16,84310,1,Chennai,1046014
178,Honda,Civic,2023,3,Diesel,Automatic,1498,9,46207,3,Bengaluru,849481
179,Toyota,Corolla,2021,5,Diesel,Manual,1498,20,39311,1,Chennai,626576
180,Tata,Nexon,2023,3,Petrol,Manual,998,11,64250,1,Chennai,552212
181,Mahindra,XUV500,2020,6,CNG,Automatic,1498,7,44315,1,Nashik,1094361
182,Maruti,Swift,2019,7,Petrol,Automatic,1197,11,8445,1,Delhi,690852
183,Skoda,Slavia,2022,4,Petrol,Automatic,998,24,57187,3,Chennai,1070233
184,Kia,Seltos,2024,2,Diesel,Manual,1197,7,63979,2,Delhi,694913
185,Skoda,Slavia,2024,2,Petrol,Automatic,1197,23,70911,1,Mumbai,1240207
186,Hyundai,Creta,2021,5,Petrol,Automatic,1997,15,73012,1,Mumbai,577959
187,Skoda,Slavia,2023,3,Diesel,Manual,1997,9,70873,3,Nashik,1440115
188,Hyundai,Creta,2021,5,CNG,Automatic,1997,24,115432,2,Pune,307584
189,Renault,Kiger,2023,3,CNG,Automatic,1197,25,86016,3,Pune,1265110
190,Skoda,Slavia,2023,3,Diesel,Manual,1199,25,110472,3,Hyderabad,846125
191,Toyota,Corolla,2021,5,Diesel,Automatic,1497,19,31741,1,Nashik,743444
192,Mahindra,XUV500,2020,6,Diesel,Manual,1197,17,46827,1,Chennai,375307
193,Maruti,Swift,2020,6,Diesel,Automatic,998,8,118267,2,Hyderabad,579856
194,Hyundai,Creta,2022,4,Diesel,Manual,1997,23,105023,1,Chennai,1066901
195,Tata,Nexon,2023,3,Diesel,Automatic,998,5,36552,1,Delhi,416422
196,Volkswagen,Virtus,2024,2,Diesel,Automatic,1997,25,75345,1,Mumbai,1092798
197,Tata,Nexon,2022,4,Petrol,Automatic,1199,17,11705,2,Nagpur,866103
198,Honda,Civic,2022,4,CNG,Automatic,1497,21,113175,2,Mumbai,573221
199,Kia,Seltos,2022,4,Diesel,Manual,1498,15,31090,2,Hyderabad,956307
200,Toyota,Corolla,2021,5,CNG,Automatic,1497,15,24521,2,Nashik,774161
201,Mahindra,XUV500,2019,7,CNG,Automatic,1498,17,82820,1,Chennai,884986
202,Volkswagen,Virtus,2022,4,CNG,Manual,1199,16,59596,2,Bengaluru,1593955
203,Toyota,Corolla,2024,2,CNG,Manual,1199,20,99555,1,Chennai,723866
204,Renault,Kiger,2024,2,Petrol,Manual,1997,9,80047,3,Mumbai,683341
205,Mahindra,XUV500,2021,5,CNG,Manual,1497,9,58788,2,Chennai,1281651
206,Hyundai,Creta,2024,2,Diesel,Automatic,1498,11,73875,2,Delhi,719229
207,Skoda,Slavia,2023,3,CNG,Automatic,1199,22,84963,2,Nagpur,738749
208,Tata,Nexon,2021,5,CNG,Manual,1199,14,95471,3,Chennai,696106
209,Skoda,Slavia,2024,2,Petrol,Automatic,1199,13,56712,1,Nashik,846335
210,Honda,Civic,2021,5,Diesel,Automatic,1997,19,33047,1,Bengaluru,1046698
211,Hyundai,Creta,2020,6,CNG,Manual,1997,24,36779,1,Nagpur,904625
212,Honda,Civic,2022,4,Diesel,Manual,1997,15,94285,1,Pune,1232351
213,Hyundai,Creta,2023,3,Diesel,Manual,1497,25,104078,1,Delhi,859267
214,Honda,Civic,2024,2,CNG,Manual,1197,23,27946,2,Nashik,532144
215,Kia,Seltos,2023,3,Diesel,Manual,1997,10,6214,1,Mumbai,874619
216,Skoda,Slavia,2024,2,CNG,Automatic,1197,20,40761,1,Mumbai,934862
217,Volkswagen,Virtus,2024,2,Petrol,Manual,1997,13,101549,1,Bengaluru,1469744
218,Maruti,Swift,2020,6,Diesel,Automatic,1997,24,72538,1,Mumbai,720714
219,Hyundai,Creta,2021,5,Petrol,Manual,1199,20,39181,2,Nagpur,905877
220,Mahindra,XUV500,2020,6,CNG,Manual,1997,23,39282,3,Delhi,961921
221,Honda,Civic,2022,4,Diesel,Automatic,1197,14,95477,1,Bengaluru,883951
222,Maruti,Swift,2020,6,Diesel,Automatic,1197,20,59505,3,Chennai,1094053
223,Maruti,Swift,2020,6,CNG,Automatic,998,24,74228,3,Delhi,373976
224,Honda,Civic,2019,7,Petrol,Manual,1498,22,26566,1,Chennai,339060
225,Renault,Kiger,2024,2,Diesel,Manual,1498,7,64432,1,Hyderabad,1240353
226,Skoda,Slavia,2023,3,Petrol,Automatic,1997,14,38352,1,Nagpur,1190572
227,Kia,Seltos,2022,4,Petrol,Manual,1498,7,66875,1,Bengaluru,863990
228,Hyundai,Creta,2023,3,Diesel,Automatic,1497,16,54236,1,Nashik,1524064
229,Honda,Civic,2020,6,CNG,Manual,1497,22,100401,1,Pune,981097
230,Tata,Nexon,2023,3,CNG,Automatic,1497,22,112919,1,Nagpur,1079880
231,Tata,Nexon,2021,5,CNG,Automatic,998,8,85599,1,Nagpur,510906
232,Renault,Kiger,2021,5,CNG,Manual,1498,19,37077,3,Pune,796325
233,Skoda,Slavia,2022,4,CNG,Automatic,1197,6,35692,3,Delhi,1186301
234,Mahindra,XUV500,2019,7,CNG,Manual,1197,14,59206,1,Bengaluru,279381
235,Renault,Kiger,2022,4,Diesel,Automatic,1997,25,11145,1,Hyderabad,1467752
236,Kia,Seltos,2023,3,Diesel,Manual,1199,9,103882,2,Chennai,817446
237,Tata,Nexon,2021,5,CNG,Automatic,998,19,59592,2,Nashik,748180
238,Maruti,Swift,2021,5,Diesel,Automatic,998,25,17119,2,Nagpur,347952
239,Renault,Kiger,2021,5,CNG,Manual,1197,7,67835,1,Delhi,743790
240,Toyota,Corolla,2021,5,Petrol,Automatic,1997,11,36797,3,Nagpur,865421
241,Skoda,Slavia,2023,3,Diesel,Automatic,1497,14,45425,1,Delhi,1289016
242,Volkswagen,Virtus,2022,4,Petrol,Automatic,1199,20,46015,2,Pune,1225366
243,Hyundai,Creta,2020,6,CNG,Automatic,1498,13,43691,1,Nagpur,586261
244,Renault,Kiger,2022,4,CNG,Automatic,1498,20,38728,2,Chennai,931005
245,Mahindra,XUV500,2019,7,CNG,Automatic,1997,9,29123,2,Pune,637880
246,Honda,Civic,2024,2,Diesel,Manual,998,6,115434,3,Nagpur,562096
247,Toyota,Corolla,2021,5,Diesel,Manual,1497,21,85980,3,Chennai,1126827
248,Toyota,Corolla,2024,2,Petrol,Manual,1497,22,74391,3,Bengaluru,1493993
249,Toyota,Corolla,2024,2,Petrol,Manual,1197,18,73732,1,Nagpur,776269
250,Tata,Nexon,2022,4,Petrol,Automatic,1497,13,58218,2,Nagpur,1261144
251,Honda,Civic,2024,2,Petrol,Automatic,998,25,54710,2,Chennai,533042
252,Hyundai,Creta,2020,6,CNG,Automatic,1497,20,79167,1,Pune,481096
253,Renault,Kiger,2024,2,Petrol,Automatic,998,13,76176,2,Pune,799061
254,Mahindra,XUV500,2018,8,Petrol,Automatic,1498,11,15084,1,Nashik,574331
255,Kia,Seltos,2024,2,CNG,Manual,1497,15,108612,3,Mumbai,1366126
256,Mahindra,XUV500,2018,8,Petrol,Manual,1497,8,49642,2,Hyderabad,737484
257,Tata,Nexon,2023,3,Diesel,Automatic,1197,20,61603,1,Hyderabad,544701
258,Tata,Nexon,2021,5,Diesel,Manual,998,7,54807,3,Nashik,1203532
259,Mahindra,XUV500,2018,8,Diesel,Automatic,998,7,52175,1,Mumbai,256924
260,Kia,Seltos,2023,3,CNG,Automatic,1498,22,18538,1,Mumbai,954318
261,Renault,Kiger,2023,3,Diesel,Automatic,998,17,55829,1,Nagpur,1297061
262,Kia,Seltos,2021,5,Diesel,Automatic,1199,9,69634,1,Mumbai,503727
263,Kia,Seltos,2022,4,Diesel,Automatic,998,20,37321,3,Chennai,1214497
264,Volkswagen,Virtus,2022,4,Petrol,Automatic,1199,9,48544,2,Hyderabad,1594357
265,Volkswagen,Virtus,2023,3,CNG,Manual,1997,18,44378,1,Nagpur,1100967
266,Kia,Seltos,2022,4,CNG,Automatic,1997,14,80481,1,Delhi,837774
267,Kia,Seltos,2022,4,Petrol,Manual,1498,8,94353,2,Pune,1366482
268,Maruti,Swift,2022,4,Petrol,Automatic,1997,14,93208,2,Nashik,1194153
269,Tata,Nexon,2021,5,Petrol,Automatic,1497,18,83372,2,Hyderabad,973675
270,Kia,Seltos,2024,2,CNG,Manual,1199,6,19335,1,Delhi,733985
271,Toyota,Corolla,2024,2,CNG,Automatic,1997,25,103655,1,Hyderabad,547248
272,Tata,Nexon,2021,5,CNG,Manual,1997,21,63429,1,Hyderabad,930745
273,Renault,Kiger,2022,4,Diesel,Manual,998,16,43722,2,Mumbai,539019
274,Hyundai,Creta,2022,4,Diesel,Manual,1199,14,73303,2,Delhi,937030
275,Volkswagen,Virtus,2023,3,Petrol,Manual,1199,7,7960,1,Mumbai,1546818
276,Maruti,Swift,2023,3,Petrol,Automatic,1498,10,78380,2,Chennai,794175
277,Hyundai,Creta,2021,5,Diesel,Automatic,1997,25,8826,3,Nagpur,881660
278,Kia,Seltos,2020,6,Diesel,Manual,1197,11,80674,1,Nashik,635972
279,Volkswagen,Virtus,2022,4,Diesel,Automatic,1997,13,83246,2,Hyderabad,1086287
280,Mahindra,XUV500,2021,5,CNG,Automatic,1197,24,85541,2,Mumbai,1061832
281,Honda,Civic,2020,6,Petrol,Automatic,998,14,95890,1,Hyderabad,729907
282,Renault,Kiger,2024,2,Diesel,Manual,1197,18,77733,1,Chennai,861993
283,Mahindra,XUV500,2021,5,Diesel,Manual,998,24,68518,1,Nagpur,855759
284,Skoda,Slavia,2024,2,CNG,Automatic,1497,20,59477,3,Chennai,1195653
285,Renault,Kiger,2021,5,Petrol,Automatic,1199,12,34470,2,Bengaluru,540383
286,Renault,Kiger,2024,2,Petrol,Manual,1498,22,40112,2,Delhi,1463576
287,Toyota,Corolla,2023,3,Diesel,Manual,1197,22,101467,3,Nagpur,918553
288,Toyota,Corolla,2023,3,Petrol,Automatic,1199,13,118415,1,Nagpur,758911
289,Renault,Kiger,2023,3,Diesel,Manual,1997,24,85760,1,Nagpur,753194
290,Renault,Kiger,2023,3,CNG,Manual,1199,22,47421,3,Bengaluru,853385
291,Skoda,Slavia,2024,2,Diesel,Manual,1197,8,41349,3,Nashik,1776857
292,Maruti,Swift,2020,6,CNG,Automatic,1197,15,69154,1,Bengaluru,928436
293,Volkswagen,Virtus,2022,4,Diesel,Automatic,998,25,96056,1,Chennai,1000196
294,Toyota,Corolla,2020,6,CNG,Automatic,1997,19,116425,1,Hyderabad,544130
295,Maruti,Swift,2022,4,Diesel,Automatic,1199,13,76737,2,Nashik,1228225
296,Mahindra,XUV500,2018,8,CNG,Automatic,998,6,7134,1,Nashik,508696
297,Kia,Seltos,2021,5,Diesel,Manual,1997,9,119612,1,Mumbai,1092297
298,Honda,Civic,2021,5,Petrol,Automatic,1197,25,86999,1,Nagpur,866221
299,Honda,Civic,2019,7,Petrol,Manual,1497,11,82814,1,Chennai,206081
300,Mahindra,XUV500,2018,8,Petrol,Automatic,1997,18,14283,1,Hyderabad,258862
301,Honda,Civic,2019,7,Diesel,Manual,1199,15,55164,1,Nashik,284853
302,Toyota,Corolla,2024,2,Diesel,Automatic,1197,25,99690,1,Nashik,1171858
303,Volkswagen,Virtus,2022,4,Petrol,Manual,998,7,82276,3,Hyderabad,919258
304,Mahindra,XUV500,2019,7,CNG,Manual,1199,12,37527,2,Bengaluru,1021645
305,Toyota,Corolla,2022,4,CNG,Manual,1498,11,103021,2,Bengaluru,1149098
306,Maruti,Swift,2022,4,Petrol,Automatic,998,17,88634,2,Mumbai,1178373
307,Toyota,Corolla,2022,4,Diesel,Automatic,1197,15,52895,2,Nashik,1419418
308,Honda,Civic,2019,7,Petrol,Automatic,998,23,33277,1,Pune,928964
309,Tata,Nexon,2024,2,CNG,Automatic,1497,18,15803,3,Nashik,833104
310,Honda,Civic,2023,3,CNG,Automatic,1197,11,56213,2,Mumbai,909101
311,Maruti,Swift,2019,7,Diesel,Manual,998,12,64424,2,Pune,522183
